ZIP,YEAR,AMPUTATIONS
40291,2018,14
40291,2019,16
40291,2020,17
40299,2016,17
40299,2017,14
40299,2018,13
40299,2019,17
40299,2020,23
40310,2018,1
40310,2019,1
40310,2020,2
40311,2016,3
40311,2017,4
40311,2018,6
40311,2019,1
40311,2020,8
40312,2016,6
40312,2017,1
40312,2018,4
40312,2019,7
40312,2020,6
40313,2016,1
40313,2017,1
40313,2018,2
40313,2019,6
40313,2020,3
40316,2020,1
40319,2016,2
40322,2016,1
40322,2019,1
40322,2020,1
40324,2016,15
40324,2017,14
40324,2018,18
40324,2019,29
40324,2020,23
40328,2017,2
40328,2018,1
40330,2016,7
40330,2017,16
40330,2018,8
40330,2019,9
40330,2020,7
40334,2017,1
40336,2016,9
40336,2017,7
40336,2018,7
40336,2019,10
40336,2020,20
40337,2016,3
40337,2017,5
40337,2018,4
40337,2019,1
40337,2020,11
40339,2020,1
40340,2016,1
40340,2019,1
40340,2020,1
40342,2016,11
40342,2017,18
40342,2018,14
40342,2019,10
40342,2020,17
40346,2020,1
40347,2016,2
40347,2019,1
40351,2016,10
40351,2017,12
40351,2018,14
40351,2019,14
40351,2020,22
40353,2016,19
40353,2017,12
40353,2018,7
40353,2019,21
40353,2020,22
40355,2016,3
40355,2017,3
40355,2018,1
40355,2019,1
40356,2016,21
40356,2017,26
40356,2018,21
40356,2019,39
40356,2020,26
40357,2019,1
40358,2019,1
40359,2016,5
40359,2017,4
40359,2018,4
40359,2019,8
40359,2020,7
40360,2016,2
40360,2017,2
40360,2018,5
40360,2019,1
40360,2020,8
40361,2016,9
40361,2017,10
40361,2018,10
40361,2019,14
40361,2020,11
40362,2019,1
40370,2016,1
40370,2017,4
40370,2018,4
40370,2019,1
40370,2020,3
40371,2016,1
40371,2017,2
40371,2018,1
40371,2019,6
40371,2020,3
40372,2016,2
40372,2017,1
40372,2018,2
40372,2019,1
40372,2020,1
40374,2016,1
40374,2018,1
40374,2019,1
40374,2020,1
40379,2017,2
40379,2018,2
40379,2019,1
40379,2020,2
40380,2016,5
40380,2017,7
40380,2018,2
40380,2019,6
40380,2020,7
40383,2016,10
40383,2017,8
40383,2018,14
40383,2019,14
40383,2020,10
40384,2019,1
40385,2017,1
40385,2018,2
40385,2019,1
40385,2020,3
40387,2016,2
40387,2018,4
40387,2019,1
40387,2020,2
40390,2016,1
40390,2017,2
40390,2018,6
40390,2019,1
40390,2020,1
40391,2016,18
40391,2017,24
40391,2018,19
40391,2019,29
40391,2020,41
40392,2018,1
40402,2016,1
40402,2017,3
40402,2018,2
40402,2019,1
40402,2020,6
40403,2016,19
40403,2017,11
40403,2018,13
40403,2019,19
40403,2020,16
40409,2017,3
40409,2018,4
40409,2019,1
40409,2020,3
40419,2016,3
40419,2017,1
40419,2018,6
40419,2019,1
40419,2020,4
40422,2016,5
40422,2017,4
40422,2018,3
40422,2019,11
40422,2020,11
40437,2016,3
40437,2017,4
40437,2018,2
40437,2019,1
40437,2020,1
40440,2016,2
40440,2017,3
40440,2018,1
40440,2020,1
40442,2016,1
40442,2018,1
40444,2016,4
40444,2017,3
40444,2018,3
40444,2019,10
40444,2020,6
40445,2017,1
40445,2018,2
40445,2020,1
40447,2016,4
40447,2017,5
40447,2018,7
40447,2019,7
40447,2020,8
40456,2016,5
40456,2017,6
40456,2018,2
40456,2019,1
40456,2020,9
40460,2019,1
40461,2017,2
40461,2018,3
40461,2019,1
40461,2020,4
40464,2016,1
40472,2017,1
40475,2016,20
40475,2017,17
40475,2018,26
40475,2019,43
40475,2020,25
40476,2020,1
40484,2016,1
40484,2017,11
40484,2018,4
40484,2019,10
40484,2020,9
40486,2017,1
40486,2019,1
40488,2018,1
40489,2016,3
40489,2018,2
40489,2019,1
40502,2016,4
40502,2017,5
40502,2018,7
40502,2019,15
40502,2020,2
40503,2016,6
40503,2017,6
40503,2018,6
40503,2019,10
40503,2020,20
40504,2016,14
40504,2017,19
40504,2018,13
40504,2019,11
40504,2020,26
40505,2016,22
40505,2017,16
40505,2018,27
40505,2019,30
40505,2020,36
40506,2016,1
40507,2016,5
40507,2018,2
40507,2019,1
40507,2020,3
40508,2016,13
40508,2017,19
40508,2018,17
40508,2019,14
40508,2020,20
40509,2016,6
40509,2017,2
40509,2018,7
40509,2019,10
40509,2020,17
40510,2018,1
40510,2019,1
40511,2016,24
40511,2017,36
40511,2018,19
40511,2019,27
40511,2020,15
40513,2016,1
40513,2018,3
40513,2019,1
40513,2020,2
40514,2016,6
40514,2017,5
40514,2018,7
40514,2019,1
40514,2020,3
40515,2016,5
40515,2017,5
40515,2018,9
40515,2019,12
40515,2020,14
40516,2016,2
40516,2017,4
40516,2018,1
40516,2020,1
40517,2016,12
40517,2017,19
40517,2018,20
40517,2019,25
40517,2020,26
40522,2020,2
40523,2020,1
40555,2017,2
40555,2018,1
40555,2020,1
40583,2018,1
40583,2020,1
40588,2016,1
40601,2016,27
40601,2017,15
40601,2018,28
40601,2019,35
40601,2020,40
40602,2019,1
40604,2017,2
40604,2019,1
40621,2017,1
40621,2019,1
40701,2016,25
40701,2017,20
40701,2018,28
40701,2019,17
40701,2020,36
40702,2016,1
40702,2017,1
40702,2018,2
40702,2019,1
40702,2020,5
40729,2016,2
40729,2017,3
40729,2018,1
40729,2019,1
40729,2020,4
40734,2016,3
40734,2017,5
40734,2018,9
40734,2019,6
40734,2020,7
40737,2016,1
40737,2019,1
40737,2020,2
40740,2016,2
40740,2019,1
40740,2020,1
40741,2016,18
40741,2017,14
40741,2018,22
40741,2019,20
40741,2020,24
40743,2016,1
40743,2017,2
40743,2020,1
40744,2016,11
40744,2017,6
40744,2018,10
40744,2019,13
40744,2020,16
40755,2019,1
40759,2018,3
40759,2019,1
40759,2020,3
40763,2017,1
40769,2016,15
40769,2017,8
40769,2018,6
40769,2019,9
40769,2020,13
40771,2016,2
40771,2018,1
40771,2019,1
