ZIP,YEAR,AMPUTATIONS
32225,2017,2
30114,2016,10
30114,2018,17
30114,2019,17
30114,2017,18
30114,2020,24
33063,2018,1
30721,2016,11
30721,2018,21
30721,2017,27
30721,2019,35
30721,2020,44
30253,2016,8
30253,2020,12
30253,2017,20
30253,2018,25
30253,2019,36
30518,2016,6
30518,2020,11
30518,2019,13
30518,2018,17
30518,2017,18
30075,2016,5
30075,2018,8
30075,2019,8
30075,2020,8
30075,2017,9
30907,2016,8
30907,2018,10
30907,2019,13
30907,2017,14
30907,2020,28
30236,2018,16
30236,2016,19
30236,2019,22
30236,2020,22
30236,2017,23
32304,2018,1
32725,2020,1
30064,2016,11
30064,2018,13
30064,2017,18
30064,2019,18
30064,2020,24
30157,2016,11
30157,2019,24
30157,2020,28
30157,2017,32
30157,2018,33
30019,2016,5
30019,2019,9
30019,2017,12
30019,2020,12
30019,2018,13
30809,2016,6
30809,2017,7
30809,2018,10
30809,2019,12
30809,2020,14
30034,2016,18
30034,2017,30
30034,2019,32
30034,2020,44
30034,2018,47
30252,2016,4
30252,2018,8
30252,2017,9
30252,2019,9
30252,2020,12
30032,2016,30
30032,2017,33
30032,2019,48
30032,2020,48
30032,2018,50
30039,2016,9
30039,2018,12
30039,2019,17
30039,2020,17
30039,2017,26
30519,2016,1
30519,2020,9
30519,2018,11
30519,2017,12
30519,2019,14
29720,2019,1
33319,2020,1
30076,2016,5
30076,2017,5
30076,2018,6
30076,2019,7
30076,2020,9
30097,2020,2
30097,2019,3
30097,2016,4
30097,2017,6
30097,2018,7
30067,2016,5
30067,2018,13
30067,2017,16
30067,2020,17
30067,2019,20
29501,2020,1
30606,2019,8
30606,2016,10
30606,2018,13
30606,2017,14
30606,2020,14
32708,2020,1
30680,2016,14
30680,2018,28
30680,2019,29
30680,2017,30
30680,2020,31
34997,2017,2
30813,2017,7
30813,2018,9
30813,2016,13
30813,2019,20
30813,2020,27
30458,2019,13
30458,2016,16
30458,2017,21
30458,2020,22
30458,2018,29
30228,2016,6
30228,2017,18
30228,2020,25
30228,2018,28
30228,2019,36
36116,2017,1
36116,2019,1
32137,2017,1
30506,2016,9
30506,2018,9
30506,2017,13
30506,2020,15
30506,2019,17
30126,2020,5
30126,2016,8
30126,2017,18
30126,2018,24
30126,2019,25
30134,2016,15
30134,2017,15
30134,2019,23
30134,2020,28
30134,2018,31
31061,2016,15
31061,2017,29
31061,2020,29
31061,2019,37
31061,2018,38
30152,2016,6
30152,2019,10
30152,2017,12
30152,2020,15
30152,2018,18
30045,2019,5
30045,2016,7
30045,2017,11
30045,2018,12
30045,2020,16
30319,2016,2
30319,2017,6
30319,2019,7
30319,2020,7
30319,2018,11
30115,2016,2
30115,2019,8
30115,2017,11
30115,2018,15
30115,2020,18
30132,2019,7
30132,2018,11
30132,2016,12
30132,2017,16
30132,2020,18
30736,2018,1
30736,2020,1
30736,2019,3
30294,2016,11
30294,2017,13
30294,2020,19
30294,2019,25
30294,2018,29
30102,2016,9
30102,2017,14
30102,2018,15
30102,2019,25
30102,2020,26
29910,2020,1
29910,2019,2
29910,2017,3
29910,2018,3
30815,2016,16
30815,2017,17
30815,2019,22
30815,2018,24
30815,2020,33
30605,2016,4
30605,2017,8
30605,2020,8
30605,2018,11
30605,2019,14
30165,2017,26
30165,2016,29
30165,2018,31
30165,2020,34
30165,2019,36
33428,2018,2
29607,2018,1
30909,2016,10
30909,2019,13
30909,2017,16
30909,2018,21
30909,2020,25
29621,2016,1
30701,2016,13
30701,2019,21
30701,2018,26
30701,2017,28
30701,2020,35
30120,2016,10
30120,2017,22
30120,2019,22
30120,2018,23
30120,2020,26
33418,2019,1
33880,2016,1
31313,2016,9
31313,2019,9
31313,2017,15
31313,2018,15
31313,2020,18
30060,2016,12
30060,2019,20
30060,2018,22
30060,2017,26
30060,2020,38
30087,2019,10
30087,2020,11
30087,2016,12
30087,2018,13
30087,2017,14
30038,2016,10
30038,2020,20
30038,2018,21
30038,2019,26
30038,2017,35
30005,2016,1
30005,2019,1
30005,2017,3
30005,2018,3
30005,2020,3
31909,2018,6
31909,2016,10
31909,2020,11
31909,2019,14
31909,2017,18
30238,2016,6
30238,2017,12
30238,2020,15
30238,2019,22
30238,2018,25
30350,2020,1
30350,2017,3
30350,2016,4
30350,2018,6
30350,2019,13
30189,2016,3
30189,2017,6
30189,2018,12
30189,2020,12
30189,2019,14
30328,2016,1
30328,2019,5
30328,2020,5
30328,2017,10
30328,2018,15
29803,2016,7
29803,2017,8
29803,2020,10
29803,2018,13
29803,2019,17
30084,2017,5
30084,2016,10
30084,2018,14
30084,2020,14
30084,2019,16
29150,2018,1
30014,2016,15
30014,2017,16
30014,2019,21
30014,2020,23
30014,2018,25
33060,2017,1
31405,2016,14
31405,2019,16
31405,2017,30
31405,2020,31
31405,2018,40
30046,2018,6
30046,2016,10
30046,2019,13
30046,2020,15
30046,2017,16
32065,2016,1
30542,2016,9
30542,2020,12
30542,2017,13
30542,2018,15
30542,2019,20
30180,2020,9
30180,2016,10
30180,2017,14
30180,2019,16
30180,2018,25
30215,2016,6
30215,2018,7
30215,2017,8
30215,2019,9
30215,2020,12
35216,2020,1
31602,2016,8
31602,2020,11
31602,2017,12
31602,2018,18
31602,2019,20
30223,2016,18
30223,2017,20
30223,2019,28
30223,2020,28
30223,2018,36
30269,2016,3
30269,2017,5
30269,2018,7
30269,2019,7
30269,2020,15
32034,2017,1
30311,2016,19
30311,2020,19
30311,2017,25
30311,2019,33
30311,2018,43
34207,2017,1
30092,2017,3
30092,2019,8
30092,2020,8
30092,2018,12
30338,2016,2
30338,2017,3
30338,2018,4
30338,2019,7
30338,2020,10
30274,2019,5
30274,2018,13
30274,2016,14
30274,2020,15
30274,2017,16
30117,2016,12
30117,2018,13
30117,2019,13
30117,2020,14
30117,2017,17
30078,2016,2
30078,2018,6
30078,2017,9
30078,2019,10
30078,2020,13
31406,2016,12
31406,2018,15
31406,2017,19
31406,2019,20
31406,2020,20
30315,2019,18
30315,2018,19
30315,2016,22
30315,2020,25
30315,2017,27
30265,2018,4
30265,2016,6
30265,2017,7
30265,2020,13
30265,2019,15
29406,2019,1
31210,2017,6
31210,2016,10
31210,2019,10
31210,2020,14
31210,2018,21
30161,2017,27
30161,2016,30
30161,2020,30
30161,2018,36
30161,2019,39
30705,2016,7
30705,2020,13
30705,2017,17
30705,2018,20
30705,2019,26
33756,2019,1
30213,2016,16
30213,2017,16
30213,2018,25
30213,2020,25
30213,2019,31
33417,2017,1
30316,2016,12
30316,2020,19
30316,2018,22
30316,2017,23
30316,2019,29
30008,2016,8
30008,2018,13
30008,2017,14
30008,2019,16
30008,2020,22
30094,2016,9
30094,2019,14
30094,2017,16
30094,2020,17
30094,2018,18
29642,2016,1
34667,2020,1
30033,2018,2
30033,2019,4
30033,2016,5
30033,2017,5
30033,2020,8
31404,2016,14
31404,2017,24
31404,2018,24
31404,2019,32
31404,2020,34
31904,2020,13
31904,2016,14
31904,2019,15
31904,2018,19
31904,2017,24
30344,2016,18
30344,2017,19
30344,2018,20
30344,2019,22
30344,2020,25
29841,2016,9
29841,2018,18
29841,2017,24
29841,2019,25
29841,2020,25
30341,2017,2
30341,2016,3
30341,2020,5
30341,2019,6
30341,2018,22
30068,2016,2
30068,2017,2
30068,2020,4
30068,2019,6
30068,2018,10
29577,2019,1
32405,2018,1
31705,2016,15
31705,2017,27
31705,2018,29
31705,2019,35
31705,2020,37
33054,2019,1
32309,2019,4
29456,2018,1
29456,2020,1
30501,2016,6
30501,2017,11
30501,2019,12
30501,2018,14
30501,2020,20
30342,2016,2
30342,2017,4
30342,2018,4
30342,2020,4
30342,2019,11
32208,2017,1
29640,2018,1
29640,2019,1
30030,2016,3
30030,2018,4
30030,2019,6
30030,2017,10
30030,2020,10
31601,2016,10
31601,2018,11
31601,2017,18
31601,2020,18
31601,2019,25
30507,2016,7
30507,2017,16
30507,2018,17
30507,2019,19
30507,2020,20
31525,2016,8
31525,2017,18
31525,2019,19
31525,2020,19
31525,2018,23
30088,2016,7
30088,2017,12
30088,2018,14
30088,2020,14
30088,2019,16
31204,2016,12
31204,2019,25
31204,2020,28
31204,2017,32
31204,2018,35
32533,2018,1
30214,2016,5
30214,2017,6
30214,2019,7
30214,2018,11
30214,2020,13
33510,2017,1
30534,2016,3
30534,2019,9
30534,2017,11
30534,2018,11
30534,2020,12
30240,2016,11
30240,2020,17
30240,2018,19
30240,2017,21
30240,2019,23
