ZIP,YEAR,AMPUTATIONS
26426,2017,22
26426,2020,*
26426,2016,*
26836,2016,*
26836,2020,*
26836,2019,*
26836,2018,*
26836,2017,*
25303,2020,*
25303,2019,*
25303,2018,*
25303,2017,*
25303,2016,*
26757,2016,*
26757,2020,*
25438,2020,*
25438,2019,*
25438,2018,*
26037,2020,*
26037,2018,*
26037,2017,*
26037,2016,*
25880,2019,*
25880,2018,*
25880,2017,*
25880,2016,*
26187,2019,*
26187,2017,*
26847,2016,*
26847,2020,*
26847,2018,*
26847,2017,*
25320,2016,12
25320,2019,*
25320,2018,*
25320,2017,*
26150,2020,*
26150,2019,*
26150,2018,*
26150,2017,*
26150,2016,*
25951,2020,*
25951,2019,*
25951,2018,*
25951,2017,*
25951,2016,*
26181,2020,*
26181,2019,*
26170,2020,*
26170,2019,*
26170,2018,*
26170,2017,*
26170,2016,*
26047,2020,*
26047,2019,*
26047,2018,*
26047,2017,*
26047,2016,*
25213,2016,10
25213,2019,*
25213,2018,*
25213,2017,*
26753,2020,*
26753,2017,*
25661,2020,*
25661,2019,*
25661,2018,*
25661,2016,*
26704,2018,*
26704,2017,*
25570,2020,15
25570,2017,15
25570,2019,20
25570,2018,26
25530,2020,*
25530,2019,*
25530,2018,*
25530,2017,*
25530,2016,*
25159,2016,13
25159,2019,14
25159,2017,14
25159,2020,*
25159,2018,*
25670,2019,*
25670,2018,*
25670,2017,*
25670,2016,*
25601,2019,13
25601,2018,13
25601,2020,*
25601,2017,*
25601,2016,*
26250,2020,10
26250,2019,11
26250,2018,*
26250,2017,*
26250,2016,*
24986,2019,11
24986,2020,*
24986,2018,*
24986,2017,*
24986,2016,*
26431,2020,17
26431,2019,*
26431,2018,*
26431,2017,*
26431,2016,*
24910,2017,11
24910,2019,14
24910,2020,*
24910,2018,*
24910,2016,*
26537,2020,*
26537,2019,*
26537,2018,*
26537,2016,*
25510,2020,10
25510,2016,11
25510,2018,19
25510,2019,*
25510,2017,*
25506,2020,*
25506,2019,*
25506,2018,*
25506,2017,*
25506,2016,*
25045,2020,*
25045,2019,*
25045,2018,*
25045,2017,*
25045,2016,*
26351,2020,*
26351,2019,*
26351,2018,*
26351,2017,*
26351,2016,*
25053,2020,18
25053,2019,*
25053,2018,*
25053,2017,*
25053,2016,*
26601,2020,*
26601,2019,*
26601,2018,*
26601,2017,*
26601,2016,*
25545,2020,*
25545,2019,*
25545,2018,*
25545,2016,*
24970,2020,*
24970,2019,*
24970,2018,*
24970,2017,*
24970,2016,*
25918,2020,*
25918,2019,*
25918,2018,*
25918,2017,*
25918,2016,*
26582,2020,16
26582,2019,*
26582,2018,*
26582,2017,*
26582,2016,*
26143,2020,12
26764,2016,*
26764,2020,*
26764,2019,*
26764,2018,*
26764,2017,*
26034,2020,*
26385,2020,*
26034,2019,*
26385,2019,*
26385,2018,*
26385,2017,*
26034,2016,*
26378,2020,*
26378,2019,*
26378,2018,*
26378,2017,*
26378,2016,*
26253,2020,*
26253,2017,*
26253,2016,*
24801,2016,27
24801,2020,*
24801,2019,*
24801,2018,*
24801,2017,*
25420,2020,*
25420,2019,*
25420,2017,*
24954,2020,*
24954,2019,*
24954,2018,*
24954,2017,*
25832,2020,*
25832,2019,*
25832,2018,*
25832,2017,*
25832,2016,*
25514,2018,15
25514,2020,19
25514,2019,*
25514,2016,*
26456,2020,*
26456,2019,*
26456,2018,*
26456,2017,*
26456,2016,*
25015,2020,*
25015,2019,*
25015,2018,*
25015,2017,*
26444,2020,*
26444,2019,*
26444,2018,*
26444,2017,*
26444,2016,*
25315,2019,12
25315,2020,*
25315,2017,*
25315,2016,*
26175,2020,*
26175,2019,*
26205,2020,*
26205,2019,*
26205,2018,*
26205,2017,*
26205,2016,*
26570,2020,*
26570,2019,*
26570,2018,*
26570,2017,*
26570,2016,*
26415,2019,*
26415,2017,*
25248,2016,10
25248,2020,16
25248,2019,*
25248,2018,*
25248,2017,*
25123,2020,*
25123,2019,*
25123,2018,*
26159,2019,*
26159,2018,*
26159,2016,*
26206,2019,*
26206,2017,*
26288,2020,*
26288,2019,*
26288,2018,*
26288,2017,*
26288,2016,*
26362,2020,*
26362,2018,*
26362,2017,*
26408,2020,*
26408,2017,*
25130,2020,*
25130,2019,*
25130,2018,*
25130,2017,*
25130,2016,*
24874,2020,*
24874,2017,*
26038,2020,*
26038,2019,*
26038,2018,*
26038,2016,*
25168,2020,*
25168,2018,*
25168,2017,*
26287,2020,*
26287,2018,*
26287,2017,*
26287,2016,*
25523,2017,12
25523,2020,*
25962,2020,*
25523,2019,*
25962,2019,*
25523,2018,*
25962,2018,*
25962,2017,*
25523,2016,*
25962,2016,*
26218,2019,*
26218,2016,*
24747,2020,*
24747,2019,*
24747,2018,*
24747,2017,*
24747,2016,*
25524,2019,10
25524,2020,*
25524,2018,*
25524,2017,*
25524,2016,*
25535,2020,*
25535,2019,*
25535,2018,*
25535,2017,*
25535,2016,*
26534,2020,*
26534,2019,*
26534,2018,*
26534,2017,*
26184,2020,*
26184,2018,*
26184,2017,*
26541,2019,12
26541,2020,*
26541,2016,*
26624,2018,11
26624,2016,*
26624,2020,*
26624,2019,*
26624,2017,*
24870,2020,*
24870,2019,*
24870,2017,*
26807,2018,*
26547,2020,10
26547,2018,*
26547,2016,*
26261,2020,*
26261,2018,*
26261,2016,*
25003,2020,*
25003,2019,*
25003,2018,*
25003,2017,*
25003,2016,*
25301,2018,12
25301,2019,13
25301,2020,17
25301,2017,*
25674,2020,*
25674,2019,*
25674,2018,*
25674,2017,*
25674,2016,*
26059,2020,*
26059,2019,*
26059,2018,*
26059,2017,*
26059,2016,*
26386,2018,*
26386,2017,*
26386,2016,*
26588,2020,*
26588,2019,*
26588,2016,*
26347,2020,*
26347,2018,*
26347,2017,*
26542,2019,*
26542,2018,*
25253,2016,*
25976,2018,*
25976,2016,*
25571,2020,*
25571,2018,*
25571,2016,*
26142,2020,*
26142,2019,*
26142,2017,*
26142,2016,*
26180,2020,*
26180,2019,*
26180,2017,*
25921,2020,*
25921,2019,*
25921,2018,*
25921,2017,*
25921,2016,*
24712,2017,*
26710,2020,*
26710,2019,*
26571,2020,*
26571,2019,*
26571,2018,*
24983,2020,*
24983,2019,*
