ZIP,YEAR,AMPUTATIONS
29360,2017,18
29360,2018,14
29360,2019,10
29360,2020,10
29201,2016,6
29201,2017,13
29201,2018,8
29201,2019,8
29201,2020,7
29532,2016,13
29532,2017,18
29532,2018,24
29532,2019,27
29532,2020,12
29506,2016,15
29506,2017,17
29506,2018,24
29506,2019,23
29506,2020,16
29340,2016,11
29340,2017,23
29340,2018,19
29340,2019,36
29340,2020,18
29341,2017,9
29341,2018,10
29341,2019,11
29341,2020,9
29627,2016,9
29627,2017,20
29627,2018,9
29627,2019,11
29206,2016,6
29206,2018,7
29206,2019,8
29206,2020,9
29909,2019,5
29706,2016,8
29706,2017,9
29706,2018,11
29706,2019,22
29706,2020,17
29575,2017,11
29575,2018,10
29575,2019,13
29575,2020,11
29053,2016,20
29053,2017,30
29053,2018,19
29053,2019,18
29053,2020,14
29204,2016,6
29204,2017,12
29204,2018,13
29204,2019,13
29204,2020,15
29671,2016,12
29671,2017,9
29671,2018,14
29671,2019,8
29671,2020,14
29512,2016,14
29512,2017,6
29512,2018,15
29512,2019,14
29512,2020,7
29307,2016,7
29307,2017,10
29307,2018,9
29307,2019,13
29307,2020,11
29102,2016,17
29102,2017,11
29102,2018,8
29102,2019,14
29102,2020,15
29566,2016,6
29566,2017,7
29566,2018,7
29566,2019,17
29566,2020,5
29379,2016,14
29379,2017,25
29379,2018,19
29379,2019,26
29379,2020,12
29118,2017,11
29118,2018,10
29118,2019,11
29118,2020,9
29569,2016,8
29569,2017,5
29569,2018,11
29569,2019,17
29569,2020,6
29078,2016,8
29078,2017,8
29078,2018,10
29078,2020,9
29302,2016,6
29302,2017,16
29302,2018,9
29302,2019,8
29536,2016,34
29536,2017,18
29536,2018,9
29536,2019,15
29536,2020,9
29306,2016,10
29306,2017,12
29306,2018,16
29306,2019,12
29306,2020,12
29582,2017,8
29582,2019,6
29582,2020,5
29070,2016,22
29070,2017,13
29070,2018,10
29070,2019,8
29070,2020,5
29630,2018,7
29630,2019,7
29630,2020,6
29388,2017,17
29388,2018,10
29388,2019,11
29388,2020,9
29568,2016,6
29568,2017,14
29568,2019,10
29902,2016,12
29902,2017,6
29902,2018,9
29662,2017,8
29662,2018,5
29662,2019,12
29662,2020,7
29624,2016,14
29624,2017,13
29624,2018,17
29624,2019,20
29624,2020,9
29153,2016,10
29153,2017,10
29153,2018,14
29153,2019,16
29153,2020,8
29657,2016,11
29657,2018,11
29657,2019,12
29657,2020,8
29325,2016,10
29325,2017,9
29325,2018,14
29325,2019,8
29325,2020,12
29585,2017,5
29585,2018,6
29585,2019,6
29585,2020,7
29907,2018,7
29907,2019,5
29571,2016,16
29571,2017,13
29571,2018,26
29571,2019,14
29571,2020,11
29369,2016,5
29369,2017,8
29369,2018,5
29061,2016,12
29061,2017,11
29061,2018,9
29061,2019,11
29061,2020,9
29334,2017,5
29334,2018,9
29334,2019,9
29334,2020,6
29180,2016,13
29180,2017,17
29180,2018,18
29180,2019,9
29180,2020,10
29697,2016,5
29697,2017,14
29697,2018,14
29697,2019,5
29697,2020,8
29693,2016,17
29693,2017,9
29693,2018,12
29693,2019,9
29693,2020,7
29520,2016,12
29520,2017,10
29520,2018,8
29520,2019,9
29520,2020,5
29323,2016,6
29323,2017,11
