ZIP,YEAR,AMPUTATIONS
38846,2016,2
39176,2016,0
39176,2019,*
39176,2020,*
36748,2016,0
36769,2016,0
39096,2016,1
39096,2017,*
39096,2018,*
39561,2016,1
39561,2017,*
39561,2019,*
39561,2020,*
39750,2016,0
39750,2017,*
39750,2019,*
39750,2020,*
38762,2016,0
38762,2017,*
38762,2018,*
38762,2019,*
38762,2020,*
38665,2016,0
39364,2016,0
39364,2017,*
39364,2019,*
39364,2020,*
39092,2016,1
39092,2017,*
39092,2018,*
39092,2019,*
39092,2020,*
38326,2016,0
39169,2016,0
39169,2017,*
39169,2018,*
39169,2019,*
39169,2020,*
38833,2016,0
38833,2017,*
38833,2020,*
38925,2016,1
38925,2017,*
38925,2020,*
38862,2016,0
38862,2017,*
38862,2018,*
38862,2019,*
38862,2020,*
39423,2016,0
39423,2017,*
39423,2018,*
39423,2019,*
39423,2020,*
38850,2016,3
38850,2017,*
38850,2018,*
38850,2019,*
38850,2020,*
39335,2016,2
39335,2017,*
39335,2018,*
39335,2019,*
39330,2016,1
39330,2017,*
39330,2018,*
39330,2019,*
38737,2016,0
38737,2017,*
38737,2018,*
38737,2019,*
38737,2020,*
39421,2016,1
39421,2017,*
39421,2019,*
39421,2020,*
39160,2016,1
39160,2017,*
39160,2020,*
38646,2016,1
38646,2017,*
38646,2018,*
38646,2019,*
38646,2020,*
35576,2016,1
38870,2016,1
38870,2017,*
38870,2018,*
38870,2020,*
39752,2017,*
39752,2019,*
39752,2020,*
39661,2017,*
39661,2019,*
39360,2016,1
39360,2017,*
39360,2018,*
39360,2019,*
39360,2020,7
38917,2016,0
38917,2017,*
38917,2018,*
38917,2019,*
38917,2020,*
38873,2016,0
38873,2018,*
38873,2019,*
39746,2016,2
39746,2017,*
39746,2018,*
39746,2019,6
39746,2020,*
39663,2016,0
39663,2018,*
39663,2019,*
39663,2020,*
38659,2016,0
38659,2018,*
38659,2020,*
36925,2016,1
38922,2016,2
38922,2017,*
38922,2018,*
38922,2019,*
39354,2018,*
39354,2019,*
39354,2020,6
39480,2016,1
39480,2019,*
39480,2020,*
39040,2016,2
39040,2017,*
39040,2018,*
39040,2020,*
39153,2016,3
39153,2017,*
39153,2018,*
39153,2019,*
39153,2020,*
38603,2016,0
38603,2017,*
38603,2018,*
38603,2019,*
38603,2020,*
38610,2016,0
38610,2017,*
38610,2018,*
38610,2019,*
38610,2020,*
38771,2016,1
38771,2017,*
38771,2018,*
38771,2020,*
38748,2016,4
38748,2017,*
38748,2018,*
38878,2018,*
38748,2019,12
38878,2019,*
38748,2020,6
38878,2020,*
39159,2016,4
39159,2017,*
39159,2018,*
39159,2019,*
39159,2020,6
39638,2016,3
39638,2018,*
39638,2019,*
39638,2020,*
39631,2016,0
39631,2017,*
39631,2019,*
38841,2018,*
38841,2019,*
38841,2020,*
39464,2016,0
39464,2018,*
39464,2019,*
39464,2020,*
39735,2016,2
39735,2017,*
39735,2018,*
39735,2020,*
38664,2016,0
38664,2017,*
38664,2018,*
38664,2019,*
38664,2020,*
38847,2016,1
38847,2017,*
38847,2019,*
38847,2020,*
38773,2016,1
38773,2018,*
38773,2019,*
38827,2016,0
38827,2017,*
38827,2019,*
38827,2020,*
38915,2016,0
38915,2017,*
38915,2018,*
38915,2019,*
38915,2020,*
39766,2017,*
39766,2019,*
39766,2020,*
39362,2016,0
39362,2017,*
39362,2018,*
39362,2019,*
39362,2020,*
38620,2016,2
38620,2017,*
38620,2019,*
38620,2020,*
39459,2016,4
39459,2018,6
39459,2019,*
39459,2020,*
39641,2016,0
39641,2017,*
39641,2018,*
39641,2020,*
36904,2016,1
38738,2017,*
38738,2018,*
39063,2016,0
39063,2017,*
39063,2018,8
39063,2019,7
39063,2020,6
35586,2016,1
39044,2016,0
39044,2017,*
39044,2018,*
39044,2019,*
